Nombre,Edad,EstadoCivil,Hijos,Residencia,propiedades,vivienda,educacion,empleo,telefono,Ingreso,balance,creditos_otro,suscrito notificaciones,Cta_Ahorros,Cta_Corriente,tarjeta_credito,monto_credito,duracion,tasa_mensual,mora_otros,Limite_Credito,razonPrestamo
Emma Vila Sanz,30,F divorciada,2,2,Propietario apartamentos,Contrato A,secundaria,Dependiente,Si,Menor a 25000,0,Bancario,0,SI,SI,0,8133,36,1,no,Sin limite,Divisas 
Jaime de Cano,46,H Soltero,2,2,Propietario apartamentos,Alquiler,Superior,Técnico,No,Menor a 25000,360,ninguno,0,NO,SI,0,730,7,4,no,Sin limite,Viaje
Maximiano Azorin-Trujillo,51,H Soltero,3,4,desconocido/ninguno,Propietario,Superior,Empresario,No,Menor a 25000,0,Bancario,0,SI,SI,0,1164,8,3,no,Sin linea de crédito,Otro
Lara Ferrero,41,F Casada,0,1,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,Menor a 25000,2,Bancario,0,NO,SI,0,5954,42,2,si,entre 0-5000,Negocio
Lope Vila Pedraza,40,H Soltero,3,4,desconocido/ninguno,Propietario,Superior,Empresario,No,25000-45000,6248,ninguno,1,SI,SI,1,1977,36,4,no,Sin linea de crédito,Estudios
Samuel Rincón Fajardo,66,H Soltero,2,4,desconocido/ninguno,Propietario,Superior,Empresario,Si,Menor a 25000,412,ninguno,0,SI,NO,1,1526,12,4,no,Sin linea de crédito,Divisas 
Ricardo Ferrándiz Escamilla,34,H Soltero,2,3,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Mayor a 45000,344,ninguno,1,SI,SI,0,3965,42,4,no,Sin linea de crédito,Viaje
Américo Velázquez,51,H Soltero,2,4,Propietario apartamentos,Propietario,Superior,Dependiente,Si,25000-45000,3222,ninguno,0,NO,NO,0,4771,11,2,no,entre 0-5000,Viaje
Gonzalo Belmonte Merino,39,H Soltero,0,2,Propietario apartamentos,Propietario,secundaria,Técnico,Si,25000-45000,174,ninguno,0,SI,SI,1,9436,54,2,no,Sin limite,Divisas 
Teobaldo Escolano,22,H Casado,1,1,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,Mayor a 45000,591,ninguno,0,SI,SI,1,3832,30,2,no,entre 0-5000,Mejora Vivienda
Selena Alberola Navas,44,F Casada,0,1,Propietario automóviles,Propietario,primaria,Dependiente,No,Menor a 25000,388,ninguno,1,NO,SI,0,5943,24,1,no,Sin limite,Viaje
Juan Pablo Bru,47,H Soltero,2,3,Propietario apartamentos,Propietario,secundaria,Dependiente,No,25000-45000,219,Préstamo a plazo,0,SI,NO,0,1213,15,4,no,Sin limite,Viaje
Susana del Roig,24,F divorciada,3,4,Propietario apartamentos,Alquiler,secundaria,Técnico,Si,Menor a 25000,451,ninguno,0,SI,SI,0,1568,18,3,no,Sin limite,Negocio
Leyre Casanovas-Giménez,58,F Soltera,3,4,Propietario de Bienes Raices,Propietario,primaria,Técnico,No,25000-45000,5,ninguno,0,NO,SI,0,1755,24,4,no,Sin linea de crédito,Otro
Ezequiel Pinto Sarmiento,52,H Soltero,1,4,Propietario de Bienes Raices,Propietario,secundaria,Técnico,Si,Menor a 25000,177,ninguno,0,SI,SI,0,2315,10,3,no,Sin linea de crédito,Viaje
Juana Solano,29,F Soltera,1,2,Propietario de Bienes Raices,Propietario,secundaria,Empresario,No,Menor a 25000,657,ninguno,0,SI,SI,0,1412,12,4,no,Sin limite,Negocio
Carmina Franco,27,F divorciada,0,1,Propietario apartamentos,Propietario,Superior,Dependiente,Si,Menor a 25000,1315,ninguno,0,NO,SI,1,1295,18,4,no,entre 0-5000,Mejora Vivienda
Cleto Cueto Redondo,47,H Soltero,1,4,desconocido/ninguno,Contrato A,primaria,Dependiente,No,25000-45000,1466,ninguno,1,SI,SI,0,12612,36,1,no,entre 0-5000,Estudios
León del Baquero,30,H Soltero,0,3,Propietario automóviles,Propietario,secundaria,Empresario,No,Menor a 25000,879,ninguno,0,SI,SI,0,2249,18,4,no,Sin linea de crédito,Vehículo
César del Verdú,28,H Soltero,0,3,Propietario de Bienes Raices,Propietario,primaria,Dependiente,Si,Menor a 25000,293,ninguno,1,SI,SI,1,1108,12,4,no,Sin linea de crédito,Mejoras del hogar
Herberto Torre Cañizares,56,H Soltero,0,4,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,Menor a 25000,424,ninguno,0,SI,NO,1,618,12,4,no,Sin limite,Viaje
Adán Fonseca Salinas,54,H Soltero,2,3,Propietario de Bienes Raices,Contrato A,secundaria,Dependiente,Si,25000-45000,1831,ninguno,0,NO,SI,0,1409,12,4,no,Sin linea de crédito,Divisas 
Águeda Herranz Alegre,33,F divorciada,1,3,Propietario apartamentos,Propietario,primaria,Técnico,Si,25000-45000,111,Bancario,1,NO,SI,1,797,12,4,no,Sin limite,Viaje
Chus Juan Pablo Abril Mendoza,20,H Soltero,2,4,desconocido/ninguno,Alquiler,primaria,Dependiente,Si,25000-45000,455,ninguno,0,SI,SI,1,3617,24,4,no,mayor 5000,Mejora Vivienda
Íñigo Noguera Codina,54,H Soltero,0,4,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,No,25000-45000,-195,ninguno,0,NO,SI,0,1318,12,4,no,entre 0-5000,Vehículo
Iker Adán-Caro,58,H Soltero,2,4,desconocido/ninguno,Alquiler,Superior,Dependiente,No,25000-45000,3616,ninguno,1,SI,SI,0,15945,54,3,no,entre 0-5000,Negocio
Jordana de Acosta,61,F divorciada,0,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,25000-45000,14093,ninguno,0,SI,NO,0,2012,12,4,no,Sin limite,Estudios
Tiburcio Jacinto Vilanova Villanueva,34,H Soltero,0,4,Propietario automóviles,Propietario,Superior,Dependiente,Si,Menor a 25000,1567,ninguno,0,SI,SI,0,2622,18,4,no,entre 0-5000,Negocio
Fernando Vizcaíno Torrent,36,H Soltero,1,4,Propietario de Bienes Raices,Propietario,Superior,Dependiente,Si,Menor a 25000,5426,ninguno,0,NO,NO,1,2337,36,4,no,entre 0-5000,Viaje
Hilario Peñalver Checa,36,H Soltero,2,4,Propietario apartamentos,Alquiler,Superior,Empresario,No,25000-45000,261,Bancario,0,SI,SI,1,7057,20,3,no,entre 0-5000,Divisas 
Eutropio del Pallarès,41,H Casado,2,4,Propietario de Bienes Raices,Alquiler,secundaria,Técnico,Si,Menor a 25000,2843,ninguno,0,SI,SI,0,1469,24,4,no,Sin limite,Vehículo
Gregorio Manuel Palau,24,H Soltero,0,4,Propietario automóviles,Alquiler,primaria,Dependiente,Si,Menor a 25000,406,ninguno,0,NO,SI,0,2323,36,4,no,entre 0-5000,Viaje
Bienvenida de Cánovas,24,F Soltera,1,2,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,25000-45000,0,ninguno,0,SI,SI,1,932,6,3,no,Sin limite,Viaje
Santiago de Puente,35,H Soltero,2,3,Propietario automóviles,Alquiler,Superior,Dependiente,No,Menor a 25000,493,ninguno,0,SI,SI,0,1919,9,4,no,entre 0-5000,Mejora Vivienda
Emiliano Piña Plaza,26,H Casado,0,4,Propietario automóviles,Alquiler,secundaria,Dependiente,No,Menor a 25000,5996,ninguno,0,NO,SI,1,2445,12,2,no,Sin limite,Divisas 
Vidal Lara Pellicer,39,H Soltero,0,3,Propietario automóviles,Propietario,primaria,Empresario,No,25000-45000,3777,ninguno,1,SI,SI,1,11938,24,2,no,entre 0-5000,Otro
Abel Fabián Prada Garay,39,H Soltero,1,4,desconocido/ninguno,Propietario,secundaria,Empresario,No,25000-45000,524,Bancario,1,SI,SI,0,6458,18,2,no,Sin limite,Vehículo
Angelino Roman Reig,32,H Soltero,3,2,Propietario automóviles,Propietario,Superior,Dependiente,Si,25000-45000,574,ninguno,0,SI,SI,0,6078,12,2,no,entre 0-5000,Vehículo
Macarena Heras Alcalde,30,F divorciada,0,2,Propietario apartamentos,Contrato A,secundaria,Dependiente,No,Mayor a 45000,427,ninguno,0,SI,NO,0,7721,24,1,no,Sin linea de crédito,Mejora Vivienda
Chema Cárdenas Arnaiz,35,H Casado,0,2,Propietario de Bienes Raices,Contrato A,Superior,Dependiente,No,Menor a 25000,483,ninguno,0,NO,SI,0,1410,14,1,no,entre 0-5000,Negocio
Camilo Tejero Gallardo,31,H divorciado,0,2,Propietario automóviles,Contrato A,primaria,Dependiente,Si,Menor a 25000,3391,Bancario,0,SI,SI,0,1449,6,1,no,entre 0-5000,Negocio
Amarilis Cepeda Ramos,23,F Soltera,2,4,Propietario apartamentos,Alquiler,primaria,Dependiente,No,Menor a 25000,0,ninguno,0,SI,SI,1,392,15,4,no,mayor 5000,Estudios
Leonardo Perez Villaverde,28,H Soltero,2,3,Propietario de Bienes Raices,Alquiler,secundaria,Técnico,Si,25000-45000,2488,ninguno,0,SI,SI,0,6260,18,3,no,entre 0-5000,Vehículo
Adelina del Berenguer,25,F Casada,3,2,Propietario de Bienes Raices,Propietario,Superior,Dependiente,No,25000-45000,1517,Préstamo a plazo,1,NO,NO,1,7855,36,4,no,Sin limite,Vehículo
Lino Morell Saura,35,H Casado,0,1,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,25000-45000,217,ninguno,0,NO,SI,0,1680,12,3,no,Sin linea de crédito,Viaje
Benigno Salmerón Cobos,47,H Soltero,2,1,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,No,25000-45000,22,ninguno,0,SI,SI,0,3578,48,4,no,Sin limite,Viaje
Adora Rincón Rivas,30,F Soltera,1,3,Propietario automóviles,Propietario,secundaria,Empresario,No,25000-45000,331,ninguno,1,SI,SI,0,7174,42,4,no,Sin linea de crédito,Viaje
Marisol Baquero Aller,27,F divorciada,0,3,Propietario de Bienes Raices,Alquiler,secundaria,Dependiente,Si,Mayor a 45000,505,ninguno,0,SI,SI,0,2132,10,2,no,Sin linea de crédito,Mejora Vivienda
Sol Mateu,23,F divorciada,2,4,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,1808,ninguno,1,SI,NO,0,4281,33,1,no,Sin linea de crédito,Mejora Vivienda
Heriberto Silvio Nogués Escolano,36,H divorciado,3,3,Propietario automóviles,Propietario,secundaria,Empresario,No,Menor a 25000,4111,ninguno,0,SI,SI,1,2366,12,3,no,entre 0-5000,Vehículo
Leocadia Jaume Cuenca,25,F Soltera,0,2,Propietario de Bienes Raices,Propietario,primaria,Dependiente,No,Menor a 25000,52,ninguno,1,NO,NO,0,1835,21,3,no,Sin linea de crédito,Viaje
Azahara Cardona Tudela,41,F Casada,3,2,Propietario automóviles,Alquiler,Superior,Empresario,No,Mayor a 45000,25,ninguno,0,SI,SI,0,3868,24,4,no,Sin limite,Divisas 
Roberto Hernandez Sebastián,24,H Soltero,2,2,Propietario de Bienes Raices,Alquiler,secundaria,Técnico,Si,25000-45000,1890,ninguno,0,SI,NO,1,1768,12,3,no,Sin limite,Mejora Vivienda
Tomás Priego Moll,63,H Soltero,1,4,desconocido/ninguno,Propietario,primaria,Dependiente,No,Mayor a 45000,419,ninguno,0,SI,SI,0,781,10,4,no,mayor 5000,Vehículo
Alexandra de Alegre,27,F Soltera,1,3,Propietario de Bienes Raices,Alquiler,secundaria,Dependiente,Si,Menor a 25000,2693,ninguno,1,SI,NO,1,1924,18,4,no,entre 0-5000,Mejora Vivienda
Tristán del Cabeza,30,H Soltero,1,2,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,25000-45000,-231,ninguno,0,SI,SI,0,2121,12,4,no,Sin linea de crédito,Vehículo
Fabio Fábregas Martinez,40,H Casado,3,2,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,Mayor a 45000,-55,ninguno,0,SI,NO,0,701,12,4,si,Sin linea de crédito,Viaje
Jaime Abellán,30,H Soltero,2,2,Propietario automóviles,Propietario,Superior,Dependiente,Si,25000-45000,462,ninguno,1,NO,SI,0,639,12,4,no,entre 0-5000,Mejoras del hogar
Maxi Atienza Madrigal,34,H Soltero,0,2,Propietario automóviles,Propietario,secundaria,Empresario,No,25000-45000,119,ninguno,0,SI,SI,0,1860,12,4,no,entre 0-5000,Divisas 
Lorenza Mena-Ledesma,29,F Casada,0,2,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,25000-45000,586,ninguno,1,SI,SI,0,3499,12,3,no,Sin linea de crédito,Vehículo
Azahara García Vallejo,24,F divorciada,3,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,228,ninguno,0,SI,SI,0,8487,48,1,no,entre 0-5000,Vehículo
Guiomar Rios Mendoza,29,H Soltero,0,3,Propietario apartamentos,Propietario,Superior,Dependiente,No,Menor a 25000,4659,Préstamo a plazo,1,SI,SI,0,6887,36,4,no,Sin linea de crédito,Estudios
Chucho Pla Páez,27,H Soltero,2,3,Propietario apartamentos,Propietario,primaria,Técnico,Si,Menor a 25000,168,Bancario,0,NO,SI,0,2708,15,2,no,Sin limite,Mejora Vivienda
Jose Angel Serra Girona,47,H Soltero,3,4,desconocido/ninguno,Propietario,primaria,Dependiente,Si,25000-45000,0,Bancario,0,SI,SI,1,1984,18,4,no,Sin limite,Mejora Vivienda
Maribel del Rosa,21,F Soltera,2,4,Propietario de Bienes Raices,Propietario,desconocido,Dependiente,No,Menor a 25000,-715,ninguno,0,SI,SI,0,10144,60,2,si,Sin limite,Viaje
Ágata Alemán Goñi,38,F Casada,0,2,Propietario de Bienes Raices,Propietario,desconocido,Dependiente,No,25000-45000,0,ninguno,0,NO,SI,0,1240,12,4,no,Sin limite,Viaje
Duilio Lerma Perelló,27,H Soltero,2,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Mayor a 45000,769,ninguno,0,SI,SI,1,8613,27,2,no,Sin limite,Divisas 
